"","Phylum_Reads","Family_Reads","Genus_Reads","ASV_Reads"
"E2_Soil_tr515F_tr515R_06",739573,739573,739573,739573
"E2_Soil_tr515F_tr515R_07",338767,338767,338767,338767
"E2_Soil_tr515F_tr515R_08",572628,572628,572628,572628
"E2_Soil_tr515F_806R_01",353794,353794,353794,353794
"E2_Soil_tr515F_806R_02",500587,500587,500587,500587
"E2_Soil_tr515F_806R_03",368774,368774,368774,368774
"E2_Soil_tr515F_806R_04",471149,471149,471149,471149
"E2_Soil_tr515F_806R_05",296114,296114,296114,296114
"E2_Soil_tr515F_806R_06",441546,441546,441546,441546
"E2_Soil_tr515F_806R_07",451748,451748,451748,451748
"E2_Soil_tr515F_806R_08",658150,658150,658150,658150
"E2_Soil_515F_tr515R_01",1643858,1643858,1643858,1643858
"E2_Soil_515F_tr515R_02",1803758,1803758,1803758,1803758
"E2_Soil_515F_tr515R_03",2162638,2162638,2162638,2162638
"E2_Soil_515F_tr515R_04",2041384,2041384,2041384,2041384
"E2_Soil_515F_tr515R_05",2265222,2265222,2265222,2265222
"E2_Soil_515F_tr515R_06",1853452,1853452,1853452,1853452
"E2_Soil_515F_tr515R_07",2313732,2313732,2313732,2313732
"E2_Soil_515F_tr515R_08",1836151,1836151,1836151,1836151
