"sample_name","sample_ID","Exp","Type","file_name","Rpl","Primer","primer_label","Group","Forward_Primer","Reverse_Primer","cName","QIIME_reads"
"D6_Skin_V4-tr515F_806R_01","D6_Skin_V4.4-15.TA_01","D6","Skin","D6_Skin_TA_4_15_01.fastq","01","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D6_Skin_V4",377831
"D6_Skin_V4-tr515F_806R_02","D6_Skin_V4.4-15.TA_02","D6","Skin","D6_Skin_TA_4_15_02.fastq","02","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D6_Skin_V4",422612
"D6_Skin_V4-tr515F_806R_03","D6_Skin_V4.4-15.TA_03","D6","Skin","D6_Skin_TA_4_15_03.fastq","03","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D6_Skin_V4",404253
"D6_Skin_V4-tr515F_806R_04","D6_Skin_V4.4-15.TA_04","D6","Skin","D6_Skin_TA_4_15_04.fastq","04","V4.4-15.TA","V4","Ind","V4-tr515F","806R","D6_Skin_V4",430759
"D6_Skin_V5-tr515F_806R_01","D6_Skin_V5.5-16.xA_01","D6","Skin","D6_Skin_A_5_16_01.fastq","01","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D6_Skin_V5",285589
"D6_Skin_V5-tr515F_806R_02","D6_Skin_V5.5-16.xA_02","D6","Skin","D6_Skin_A_5_16_02.fastq","02","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D6_Skin_V5",405672
"D6_Skin_V5-tr515F_806R_03","D6_Skin_V5.5-16.xA_03","D6","Skin","D6_Skin_A_5_16_03.fastq","03","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D6_Skin_V5",335773
"D6_Skin_V5-tr515F_806R_04","D6_Skin_V5.5-16.xA_04","D6","Skin","D6_Skin_A_5_16_04.fastq","04","V5.5-16.xA","V5","Ind","V5-tr515F","806R","D6_Skin_V5",351132
"D6_Skin_V6-tr515F_806R_01","D6_Skin_V6.6-15.xC_01","D6","Skin","D6_Skin_C_6_15_01.fastq","01","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D6_Skin_V6",343783
"D6_Skin_V6-tr515F_806R_02","D6_Skin_V6.6-15.xC_02","D6","Skin","D6_Skin_C_6_15_02.fastq","02","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D6_Skin_V6",468936
"D6_Skin_V6-tr515F_806R_03","D6_Skin_V6.6-15.xC_03","D6","Skin","D6_Skin_C_6_15_03.fastq","03","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D6_Skin_V6",459100
"D6_Skin_V6-tr515F_806R_04","D6_Skin_V6.6-15.xC_04","D6","Skin","D6_Skin_C_6_15_04.fastq","04","V6.6-15.xC","V6","Ind","V6-tr515F","806R","D6_Skin_V6",400421
"D6_Skin_V7-tr515F_806R_01","D6_Skin_V7.7-17.xA_01","D6","Skin","D6_Skin_A_7_17_01.fastq","01","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D6_Skin_V7",373009
"D6_Skin_V7-tr515F_806R_02","D6_Skin_V7.7-17.xA_02","D6","Skin","D6_Skin_A_7_17_02.fastq","02","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D6_Skin_V7",443608
"D6_Skin_V7-tr515F_806R_03","D6_Skin_V7.7-17.xA_03","D6","Skin","D6_Skin_A_7_17_03.fastq","03","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D6_Skin_V7",334317
"D6_Skin_V7-tr515F_806R_04","D6_Skin_V7.7-17.xA_04","D6","Skin","D6_Skin_A_7_17_04.fastq","04","V7.7-17.xA","V7","Ind","V7-tr515F","806R","D6_Skin_V7",336468
"D6_Skin_V8-tr515F_806R_01","D6_Skin_V8.8-17.xC_01","D6","Skin","D6_Skin_C_8_17_01.fastq","01","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D6_Skin_V8",341743
"D6_Skin_V8-tr515F_806R_02","D6_Skin_V8.8-17.xC_02","D6","Skin","D6_Skin_C_8_17_02.fastq","02","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D6_Skin_V8",332217
"D6_Skin_V8-tr515F_806R_03","D6_Skin_V8.8-17.xC_03","D6","Skin","D6_Skin_C_8_17_03.fastq","03","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D6_Skin_V8",337904
"D6_Skin_V8-tr515F_806R_04","D6_Skin_V8.8-17.xC_04","D6","Skin","D6_Skin_C_8_17_04.fastq","04","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D6_Skin_V8",362746
"D7_Soil_515F_806R_01","D7_Soil_StandardO_01","D7","Soil","D7_Soil_Full_01.fastq","01","StandardO","St","Pool","515F","806R","D7_Soil_St",1987399
"D7_Soil_515F_806R_02","D7_Soil_StandardO_02","D7","Soil","D7_Soil_Full_02.fastq","02","StandardO","St","Pool","515F","806R","D7_Soil_St",2285727
"D7_Soil_515F_806R_03","D7_Soil_StandardO_03","D7","Soil","D7_Soil_Full_03.fastq","03","StandardO","St","Pool","515F","806R","D7_Soil_St",2036036
