"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae",3,4,2,4,10,5,0,2,1,0,9,0,4502,4107,4288,4367,4550,4558,5989,5679,5629,5383,5639,5536,5094,5558
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__",3,0,0,2,0,0,1,2,1,1,5,2,3204,3262,3472,3278,3451,3495,2477,2525,2161,2553,2625,2430,2711,2579
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured",11,6,11,9,8,4,5,7,0,8,3,4,3689,3683,3706,3720,3753,3431,3145,3277,3400,3371,3243,3408,3111,2984
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",272,248,261,236,691,639,683,706,601,653,511,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",1,0,4,4,0,1,6,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter",3,2,0,0,0,0,0,0,4,0,2,0,82,88,33,54,41,57,78,63,33,51,67,61,46,47
"d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2;g__WPS-2",1,0,6,1,0,6,8,2,4,1,2,0,17,23,15,17,17,10,36,26,11,30,33,41,20,16
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas",13,7,12,4,15,10,33,28,12,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__",6,13,11,8,5,8,10,11,11,16,3,0,310,272,250,299,261,362,250,243,248,252,244,279,244,277
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",8,2,1,0,9,0,2,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales;g__Rokubacteriales",0,2,0,0,6,5,4,1,0,0,0,0,93,91,107,118,115,96,160,160,174,104,129,139,150,123
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41",1,3,0,2,0,0,0,0,0,0,2,0,4261,4127,4328,3876,4231,4287,6016,5379,5740,5274,5438,5391,5836,5773
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas",2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84;g__SC-I-84",2,1,0,3,1,3,2,1,0,9,4,0,783,790,827,785,736,910,690,680,782,765,641,706,698,711
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma",3,3,0,1,1,2,5,0,7,2,1,0,47,27,50,45,19,56,22,70,56,47,58,20,60,48
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas",34,27,33,40,33,21,31,29,29,45,17,35,212,165,248,185,194,217,178,183,153,191,161,170,164,240
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__uncultured",1,0,3,2,2,0,0,0,0,2,3,5,2436,2559,2402,2424,2502,2465,2239,2223,2384,2293,2171,2284,2342,2378
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium",16283,16500,16519,16451,15317,15832,16303,16245,16102,16279,16348,16413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides",654,514,517,535,1414,1202,1069,1004,1168,1095,944,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",0,0,0,2,3,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;__",0,3,3,0,4,0,5,0,0,0,1,0,6504,6371,5936,6133,6702,6488,5563,5670,6009,5805,6148,6053,6102,6347
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter",0,1,1,2,3,2,0,0,0,0,0,0,2183,1971,2062,2058,2137,2289,1175,1067,1095,1233,1121,1128,1295,1288
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured",0,0,3,6,0,0,0,1,0,0,0,3,145,180,185,177,141,148,167,247,205,213,204,184,202,238
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17",0,0,0,2,0,0,1,0,0,5,0,0,131,141,124,152,181,204,208,195,226,245,167,173,186,188
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256",0,0,3,0,5,5,1,0,3,0,0,0,608,715,707,588,648,671,538,608,506,610,664,575,628,640
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus",1,1,4,0,8,3,0,1,0,0,0,4,234,271,193,252,233,282,244,226,232,210,221,133,214,208
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Candidatus_Alysiosphaera",2,0,4,1,0,2,3,0,0,0,0,0,1840,1982,2037,1981,2082,1698,1716,1799,1848,1910,1883,1632,1681,1628
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;__",20,29,19,14,1,4,16,19,6,7,20,20,63,94,74,84,108,67,60,80,54,59,70,75,93,85
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia",1,0,5,0,0,4,2,0,0,3,1,0,197,193,204,184,167,147,146,117,177,169,154,163,154,144
