"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Candidatus_Peribacteria;f__Candidatus_Peribacteria;g__Candidatus_Peribacteria",0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,7,1,1,11,16,1,13,2,13,8,11
"d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadales;g__Armatimonadales",0,0,0,0,0,0,0,0,0,0,0,0,108,75,88,96,59,109,86,76,83,89,95,83,100,140
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,99,78,97,96,115,98,94,82,96,54,64,67,68,116
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__37-13",0,0,0,0,0,0,0,0,0,0,0,0,10,19,10,17,6,5,9,20,23,14,26,8,17,15
"d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Berkelbacteria;f__Berkelbacteria;g__Berkelbacteria",0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,7,4,3,19,0,12,11,5,11,17,28
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,31,29,65,43,52,48,61,21,47,22,18,24,53,43
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales;g__Frankiales",0,0,0,0,0,0,0,0,0,0,0,0,20,11,11,7,9,14,18,7,23,6,13,4,10,18
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,98,109,85,87,97,90,90,104,74,91,67,83,110,98
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flaviaesturariibacter",0,0,0,0,0,0,0,0,0,0,0,0,56,69,50,75,68,81,51,41,74,95,68,92,63,95
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,34,31,30,56,59,36,23,52,36,23,52,7,33,42
"d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5",0,0,0,0,0,0,0,0,0,0,0,0,150,110,138,120,125,131,83,140,76,138,94,91,108,95
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Arcticibacter",0,0,0,0,0,0,0,0,0,0,0,0,109,105,99,92,92,92,66,86,89,95,89,92,108,110
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter",0,0,0,0,0,0,0,0,0,0,0,0,32,20,24,28,28,27,22,9,6,27,14,42,23,61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingoaurantiacus",0,0,0,0,0,0,0,0,0,0,0,0,18,23,58,58,39,48,45,19,62,49,39,8,79,34
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,64,88,78,75,78,71,77,71,51,64,77,50,59,76
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum",0,0,0,0,0,0,0,0,0,0,0,0,68,23,28,46,22,49,27,33,19,33,25,12,29,23
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,78,115,111,91,103,88,87,75,100,80,85,82,76,72
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,22,6,8,11,7,6,7,15,0,9,4,6,9,2
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexales;g__Oligoflexus",0,0,0,0,0,0,0,0,0,0,0,0,50,62,20,32,52,45,56,23,24,32,41,28,30,29
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas",0,0,0,0,0,0,0,0,0,0,0,0,27,20,21,42,39,49,4,25,46,23,21,29,11,29
"d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota",0,0,0,0,0,0,0,0,0,0,0,0,39,56,80,37,50,64,43,62,53,77,84,36,54,81
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces",0,0,0,0,0,0,0,0,0,0,0,0,535,512,566,490,539,447,453,463,371,448,418,416,488,451
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__BD1-7_clade",0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,15,0,1,7,0,9,7,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira",0,0,0,0,0,0,0,0,0,0,0,0,63,65,41,41,34,69,62,38,80,64,39,66,42,50
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,84,84,79,88,95,82,60,110,65,67,64,90,62,56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis",0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,4,14,11,1,5,0,4,0,15,14,3
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella",0,0,0,0,0,0,0,0,0,0,0,0,31,28,18,21,30,40,33,26,26,38,32,33,21,23
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Shimazuella",0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,6,5,11,5,0,0,0,0,13,11,11
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora",0,0,0,0,0,0,0,0,0,0,0,0,917,851,919,896,833,850,855,887,854,864,805,777,808,776
"d__Bacteria;p__Acidobacteriota;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25",0,0,0,0,0,0,0,0,0,0,0,0,18,5,9,8,26,0,23,12,12,16,11,34,50,18
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,209,207,218,176,239,267,213,199,137,156,129,199,212,160
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus",0,0,0,0,0,0,0,0,0,0,0,0,1639,1648,1719,1648,1774,1764,3240,3360,3242,3255,3241,3292,3221,3615
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,52,22,44,23,43,22,21,24,18,27,48,20,40,21
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,177,163,180,172,179,148,137,187,180,177,152,132,134,170
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,110,101,102,81,100,88,63,96,84,121,58,84,59,84
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,7,2,10,8,6,6,0,0,0,0,15,3,5,4
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodovarius",0,0,0,0,0,0,0,0,0,0,0,0,5,15,16,14,8,15,4,13,0,4,20,4,13,13
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,84,76,67,67,97,93,35,57,74,59,80,91,62,78
"d__Bacteria;p__Myxococcota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,9,10,13,9,2,0,5,2,9,0,3,4,4,7
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon",0,0,0,0,0,0,0,0,0,0,0,0,149,114,127,136,106,114,165,164,221,131,174,180,170,150
"d__Bacteria;p__Chloroflexi;c__SHA-26;o__SHA-26;f__SHA-26;g__SHA-26",0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,3,9,3,2,3,2,2,6,9,6,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767;g__AKYH767",0,0,0,0,0,0,0,0,0,0,0,0,111,81,68,65,57,108,97,68,48,77,47,60,53,60
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,1445,1547,1530,1607,1591,1543,1398,1559,1368,1469,1585,1523,1491,1300
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;__;__",0,0,0,0,0,0,0,0,0,0,0,0,10,27,18,20,13,12,28,4,23,33,10,13,10,9
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paeniclostridium",0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,10,12,5,5,14,5,2,5,7,7,13
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter",0,0,0,0,0,0,0,0,0,0,0,0,148,161,144,163,165,139,221,169,215,210,177,212,185,177
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Sphaerobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,16,5,19,1,8,13,0,15,10
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__Tepidisphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,16,24,16,17,18,13,1,0,0,2,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea",0,0,0,0,0,0,0,0,0,0,0,0,77,82,66,110,100,75,63,61,74,60,69,94,58,72
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Patulibacter",0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,4,0,2,1,0,6,2,17,0,5,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,239,222,230,224,219,157,285,338,447,313,404,340,356,394
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,20,29,31,27,26,4,14,19,12,31,15,7,25,14
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,56,80,100,67,96,98,78,92,130,73,113,66,96,57
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,27,9,18,17,9,5,31,24,23,23,12,20,15,26
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Chryseolinea",0,0,0,0,0,0,0,0,0,0,0,0,91,101,81,55,87,82,52,47,91,48,69,71,49,111
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207",0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,9,6,8,7,8,3,0,9,1,0,0
"d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28;g__SJA-28",0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,3,0,10,6,0,7,2,0,0,2,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,174,177,221,183,210,210,194,220,193,172,211,188,161,196
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD3-93;g__KD3-93",0,0,0,0,0,0,0,0,0,0,0,0,57,49,59,50,53,67,54,43,55,54,50,61,36,42
"d__Bacteria;p__Bdellovibrionota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,9,7,10,0,4,5,7,6,13,10,2,0,11,19
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,12,10,2,0,1,0,2,8,5,0,3
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Pseudoflavitalea",0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,2,8,5,0,8,16,3,15,6,9,10
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__OLB13",0,0,0,0,0,0,0,0,0,0,0,0,11,14,20,11,7,11,9,13,36,9,10,1,28,27
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,27,39,46,35,38,56,42,40,10,33,31,38,28,41
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,18,5,1,5,0,0,0,11,7,9,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__1174-901-12",0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,12,1,9,3,0,0,4,6,4,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,15,19,5,6,16,7,4,3,0,4,3
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catellatospora",0,0,0,0,0,0,0,0,0,0,0,0,31,24,28,37,28,32,34,37,18,14,24,30,14,47
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Tellurimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,18,15,0,10,0,38,7,0,0,6
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,40,24,23,23,28,17,24,15,12,17,20,16,11,21
"d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,2720,2688,2559,2713,2474,2617,3974,3486,3509,3478,3306,3198,3058,3453
"d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera",0,0,0,0,0,0,0,0,0,0,0,0,3428,3046,3074,3223,3108,3111,2650,2511,2838,2603,2688,2885,2679,2859
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsaceae;g__Chroococcidiopsis_SAG_2023",0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,13,3,5,5,2,3,4,7,1,12,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,246,269,325,305,294,252,146,165,178,248,206,220,232,195
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,82,77,126,62,116,84,96,105,118,96,81,80,86,54
"d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,1,0,16,0,3,0,0,8,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus",0,0,0,0,0,0,0,0,0,0,0,0,6,17,7,7,1,2,2,11,4,1,21,6,7,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_8",0,0,0,0,0,0,0,0,0,0,0,0,23,24,10,11,13,22,18,12,22,7,18,25,17,19
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharothrix",0,0,0,0,0,0,0,0,0,0,0,0,88,82,67,75,64,62,95,70,41,61,74,105,66,53
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__KF-JG30-B3;g__KF-JG30-B3",0,0,0,0,0,0,0,0,0,0,0,0,85,87,47,41,85,91,69,56,73,41,73,68,85,59
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,88,87,95,105,114,135,96,72,73,109,93,108,89,89
"d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Obscuribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,6,21,5,8,27,29,30,6,20,8,4,23,5,4
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus",0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,2,13,5,2,10,10,9,7,5,8,14
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter",0,0,0,0,0,0,0,0,0,0,0,0,3425,3154,3281,3224,3411,3315,2617,2540,2370,2676,2632,2515,2711,2792
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis",0,0,0,0,0,0,0,0,0,0,0,0,29,34,12,19,40,17,8,17,16,28,5,22,21,13
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus",0,0,0,0,0,0,0,0,0,0,0,0,4,11,16,5,5,4,4,14,0,6,4,6,7,6
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13",0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,4,9,13,1,2,4,1,4,7,1,9
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,40,26,37,36,52,34,51,21,41,21,62,64,26,56
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,6,0,6,14,0,0,5,0,1,0,4
"d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2;g__WS2",0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,12,7,6,9,21,12,2,8,5,15,1
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__Tepidisphaera",0,0,0,0,0,0,0,0,0,0,0,0,15,12,19,14,2,16,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Virgisporangium",0,0,0,0,0,0,0,0,0,0,0,0,567,610,659,594,635,513,544,699,698,533,593,590,628,530
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Candidatus_Nostocoida",0,0,0,0,0,0,0,0,0,0,0,0,12,7,12,3,8,5,10,8,6,23,13,2,0,13
"d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas",0,0,0,0,0,0,0,0,0,0,0,0,42,46,47,61,40,50,59,113,72,58,65,70,74,87
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Cnuella",0,0,0,0,0,0,0,0,0,0,0,0,73,68,107,70,57,81,58,49,55,57,54,38,70,41
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Arboricoccus",0,0,0,0,0,0,0,0,0,0,0,0,28,17,50,47,30,19,10,26,17,24,17,44,46,46
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,44,45,21,46,37,29,47,43,23,39,18,49,40,27
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__B1-7BS;g__B1-7BS",0,0,0,0,0,0,0,0,0,0,0,0,31,40,25,27,28,27,24,22,7,31,20,37,18,51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__PMMR1",0,0,0,0,0,0,0,0,0,0,0,0,31,16,17,25,38,16,7,27,32,18,23,32,12,24
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,8,11,0,7,0,17,0,9,7,6
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineae;f__Anaerolineae;g__Anaerolineae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,8,7,4,11,7,0,0,4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,102,111,75,103,147,127,107,92,73,85,84,84,72,98
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Vulgatibacteraceae;g__Vulgatibacter",0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,7,1,15,12,8,18,4,8,0,13,9
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,15,44,16,33,19,5,22,10,32,15,13
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus",0,0,0,0,0,0,0,0,0,0,0,0,22,26,26,18,31,23,19,26,27,7,33,23,12,19
"d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,19,21,7,26,8,24,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Nordella",0,0,0,0,0,0,0,0,0,0,0,0,130,122,126,137,124,159,163,130,96,132,168,127,149,161
"d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,5,2,15,5,11,9,15,23,5,11,2,30,9,10
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea",0,0,0,0,0,0,0,0,0,0,0,0,32,13,10,19,18,18,17,24,15,8,26,26,10,20
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera",0,0,0,0,0,0,0,0,0,0,0,0,53,37,31,35,26,50,9,22,19,32,18,31,20,32
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,14,3,10,12,9,4,7,3,0,6,2,3,2,2
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter",0,0,0,0,0,0,0,0,0,0,0,0,15,24,6,16,3,15,6,9,12,17,10,19,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,11,25,9,19,19,16,11,28,6,5,9,11,19,30
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,2,2,5,10,7,7,6,0,0,0,9
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae;g__Sporomusa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,10,0,2,12,13,8,8,4,12
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium",0,0,0,0,0,0,0,0,0,0,0,0,122,101,106,132,129,117,102,89,79,109,99,152,94,133
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,4,1,4,8,0,7,0,4,15,6
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula",0,0,0,0,0,0,0,0,0,0,0,0,20,42,28,42,29,16,39,84,8,21,26,26,28,45
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Domibacillus",0,0,0,0,0,0,0,0,0,0,0,0,106,131,81,116,116,129,100,95,80,91,131,73,68,130
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax",0,0,0,0,0,0,0,0,0,0,0,0,35,65,42,52,46,60,69,44,39,46,55,40,29,37
